Hisse    Temettü Tar  Verim   T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
BURCE    2024-07-09   %0.68  -1.88%    -3.50%    +0.69%    -2.70%    -1.32%    -2.23%    +0.05%    +1.46%    -3.11%    +3.07%    +1.49%    -0.93%    +0.63%    +0.09%    -1.96%   
KMPUR    2024-07-09   %0.79  -0.26%    -2.27%    -0.81%    -0.18%    +0.99%    -0.18%    +0.72%    -0.80%    -0.99%    +3.35%    -0.44%    -0.18%    +1.24%    -0.61%    +0.26%   
PAGYO    2024-07-10   %4.30  +4.49%    +1.91%    -1.03%    +1.99%    +0.46%    +0.09%    -1.20%    -5.51%    +1.19%    +4.69%    -1.12%    +0.66%    +0.09%    +1.78%    +3.41%   
ISBIR    2024-07-16   %0.68  +3.40%    -0.88%    -1.86%    -1.65%    +5.70%    +3.97%    +0.84%    -6.13%    +0.00%    -0.89%    -1.79%    +0.33%    -0.08%    +0.41%    -0.58%   
MERCN    2024-07-17   %0.52  +0.09%    -0.34%    -0.09%    +1.90%    +0.85%    -0.92%    +2.96%    -0.90%    +0.25%    -0.91%    -2.59%    +0.60%    +1.45%    -0.50%    -1.18%   
PAPIL    2024-07-17   %0.04  -4.14%    +3.72%    +0.90%    -4.32%    -5.04%    -2.52%    -2.87%    +1.48%    -3.49%    -1.58%    -1.00%    +1.08%    +0.23%    +0.76%    +4.77%   
BIMAS    2024-07-17   %0.31  +1.47%    +0.90%    -0.81%    -1.99%    +4.97%    +1.49%    +1.21%    +1.79%    +2.35%    +0.74%    +0.16%    -0.08%    +1.54%    -1.84%    -0.08%   
PNLSN    2024-07-18   %1.10  +1.76%    +0.49%    +0.08%    +1.47%    -0.24%    -1.54%    +4.35%    -1.57%    +1.52%    -3.62%    +1.14%    +0.73%    +1.04%    -1.59%    -0.16%   
HLGYO    2024-07-19   %0.55  -0.70%    -0.70%    +1.77%    +2.79%    +0.68%    +3.37%    +0.33%    +3.25%    -3.46%    -1.30%    +1.32%    -0.98%    +0.00%    -2.96%    -1.02%   
AVPGY    2024-07-22   %1.50  -0.62%    +4.29%    +2.33%    +3.70%    -0.99%    +1.04%    +0.52%    -1.58%    +0.04%    +0.61%    +3.71%    -0.25%    -1.42%    -0.30%    -3.23%   
LKMNH    2024-07-22   %0.63  -1.24%    +2.73%    +1.12%    +5.47%    -2.69%    +0.56%    +1.38%    -0.40%    -1.36%    -2.71%    +2.37%    +2.21%    -3.62%    -0.84%    +0.00%   
GRTHO    2024-07-22   %0.05  +3.04%    -0.38%    +1.29%    +1.35%    +1.63%    +0.29%    +0.80%    -1.51%    +0.07%    -0.51%    +2.50%    +5.67%    +6.38%    +0.00%    -0.38%   
TRGYO    2024-07-22   %4.31  +1.14%    +0.00%    +4.52%    +1.98%    -2.74%    -0.09%    -0.82%    -2.47%    +1.13%    -0.93%    +1.69%    -1.94%    -1.03%    -4.94%    -0.28%   
PRKME    2024-07-23   %4.66  +2.55%    +2.72%    -1.44%    +4.61%    -2.65%    -0.38%    -1.74%    -8.71%    -1.27%    -2.05%    +0.44%    -2.87%    +1.16%    -3.27%    +6.40%   
DURDO    2024-07-23   %0.62  +4.01%    +1.43%    +0.21%    +0.77%    +0.77%    -0.48%    +0.00%    -1.32%    +0.77%    -0.98%    -1.27%    -1.50%    -0.22%    -3.27%    +2.85%   
